"Step","dual_agent_nyc_man_south_mode2 - combined/total_reward","dual_agent_nyc_man_south_mode2 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode2 - combined/total_reward__MAX"
"0","1722.9241943359375","1722.9241943359375","1722.9241943359375"
"16","3584.85986328125","3584.85986328125","3584.85986328125"
"21","1921.14501953125","1921.14501953125","1921.14501953125"
"25","2384.626220703125","2384.626220703125","2384.626220703125"
"48","2246.50439453125","2246.50439453125","2246.50439453125"
"58","552.9617919921875","552.9617919921875","552.9617919921875"
"59","2276.64404296875","2276.64404296875","2276.64404296875"
"63","1811.998291015625","1811.998291015625","1811.998291015625"
"72","1216.7703857421875","1216.7703857421875","1216.7703857421875"
"77","2735.915771484375","2735.915771484375","2735.915771484375"
"102","2453.2763671875","2453.2763671875","2453.2763671875"
"118","2356.0146484375","2356.0146484375","2356.0146484375"
"148","1542.828125","1542.828125","1542.828125"
"150","3302.71826171875","3302.71826171875","3302.71826171875"
"153","2831.87548828125","2831.87548828125","2831.87548828125"
"154","2736.10888671875","2736.10888671875","2736.10888671875"
"162","2036.512451171875","2036.512451171875","2036.512451171875"
"163","1610.1405029296875","1610.1405029296875","1610.1405029296875"
"166","3022.681640625","3022.681640625","3022.681640625"
"175","1147.970458984375","1147.970458984375","1147.970458984375"
"184","1664.53857421875","1664.53857421875","1664.53857421875"
"192","1458.2567138671875","1458.2567138671875","1458.2567138671875"
"224","2242.6630859375","2242.6630859375","2242.6630859375"
"249","2367.802001953125","2367.802001953125","2367.802001953125"
"258","2565.880859375","2565.880859375","2565.880859375"
"265","1719.6942138671875","1719.6942138671875","1719.6942138671875"
"277","3358.05224609375","3358.05224609375","3358.05224609375"
"280","3153.31396484375","3153.31396484375","3153.31396484375"
"291","3188.0234375","3188.0234375","3188.0234375"
"294","2997.406494140625","2997.406494140625","2997.406494140625"
"300","3316.88134765625","3316.88134765625","3316.88134765625"
"304","2446.85498046875","2446.85498046875","2446.85498046875"
"308","2448.8291015625","2448.8291015625","2448.8291015625"
"317","1325.6258544921875","1325.6258544921875","1325.6258544921875"
"336","2233.580322265625","2233.580322265625","2233.580322265625"
"352","2884.22998046875","2884.22998046875","2884.22998046875"
"367","2687.6337890625","2687.6337890625","2687.6337890625"
"371","2115.802734375","2115.802734375","2115.802734375"
"381","2354.92626953125","2354.92626953125","2354.92626953125"
"388","1649.6197509765625","1649.6197509765625","1649.6197509765625"
"396","1831.192626953125","1831.192626953125","1831.192626953125"
"404","2922.4462890625","2922.4462890625","2922.4462890625"
"413","2777.22900390625","2777.22900390625","2777.22900390625"
"424","1418.2491455078125","1418.2491455078125","1418.2491455078125"
"429","3840.3291015625","3840.3291015625","3840.3291015625"
"434","3346.340576171875","3346.340576171875","3346.340576171875"
"454","3625.416748046875","3625.416748046875","3625.416748046875"
"464","1913.88330078125","1913.88330078125","1913.88330078125"
"471","1758.4366455078125","1758.4366455078125","1758.4366455078125"
"476","2990.67333984375","2990.67333984375","2990.67333984375"
"489","2772","2772","2772"
"514","3394.901123046875","3394.901123046875","3394.901123046875"
"518","2266.361572265625","2266.361572265625","2266.361572265625"
"533","3553.32373046875","3553.32373046875","3553.32373046875"
"548","1436.00537109375","1436.00537109375","1436.00537109375"
"549","3522.42626953125","3522.42626953125","3522.42626953125"
"567","2791.7919921875","2791.7919921875","2791.7919921875"
"574","2541.1240234375","2541.1240234375","2541.1240234375"
"577","2045.213623046875","2045.213623046875","2045.213623046875"
"584","2684.474609375","2684.474609375","2684.474609375"
"585","2297.92041015625","2297.92041015625","2297.92041015625"
"588","3259.03125","3259.03125","3259.03125"
"594","2637.844970703125","2637.844970703125","2637.844970703125"
"612","1535.3590087890625","1535.3590087890625","1535.3590087890625"
"645","1104.938232421875","1104.938232421875","1104.938232421875"
"651","3210.20361328125","3210.20361328125","3210.20361328125"
"662","1680.390380859375","1680.390380859375","1680.390380859375"
"675","2421.54931640625","2421.54931640625","2421.54931640625"
"685","1990.492431640625","1990.492431640625","1990.492431640625"
"702","2592.18115234375","2592.18115234375","2592.18115234375"
"751","3223.78857421875","3223.78857421875","3223.78857421875"
"754","3966.72998046875","3966.72998046875","3966.72998046875"
"762","4499.7666015625","4499.7666015625","4499.7666015625"
"788","1991.173828125","1991.173828125","1991.173828125"
"801","2186.33203125","2186.33203125","2186.33203125"
"806","3249.0302734375","3249.0302734375","3249.0302734375"
"812","2279.010498046875","2279.010498046875","2279.010498046875"
"839","3228.642578125","3228.642578125","3228.642578125"
"881","2013.7940673828125","2013.7940673828125","2013.7940673828125"
"882","1995.9947509765625","1995.9947509765625","1995.9947509765625"
"884","1831.428955078125","1831.428955078125","1831.428955078125"
"885","2038.3929443359375","2038.3929443359375","2038.3929443359375"
"913","2725.009521484375","2725.009521484375","2725.009521484375"
"921","3607.5966796875","3607.5966796875","3607.5966796875"
"938","4152.560546875","4152.560546875","4152.560546875"
"947","2981.8896484375","2981.8896484375","2981.8896484375"
"961","961.225830078125","961.225830078125","961.225830078125"
"962","2386.34228515625","2386.34228515625","2386.34228515625"
"964","2888.24658203125","2888.24658203125","2888.24658203125"
"971","3443.08349609375","3443.08349609375","3443.08349609375"
"975","1884.66259765625","1884.66259765625","1884.66259765625"
"990","2384.81298828125","2384.81298828125","2384.81298828125"
"996","3089.492919921875","3089.492919921875","3089.492919921875"
"997","3462.03466796875","3462.03466796875","3462.03466796875"
"1000","1643.410400390625","1643.410400390625","1643.410400390625"
"1010","3089.04931640625","3089.04931640625","3089.04931640625"
"1020","3491.759765625","3491.759765625","3491.759765625"
"1025","2890.800537109375","2890.800537109375","2890.800537109375"
"1049","2285.86279296875","2285.86279296875","2285.86279296875"
"1066","1848.530029296875","1848.530029296875","1848.530029296875"
"1074","1651.12548828125","1651.12548828125","1651.12548828125"
"1084","2830.23779296875","2830.23779296875","2830.23779296875"
"1103","2644.42333984375","2644.42333984375","2644.42333984375"
"1112","3515.017578125","3515.017578125","3515.017578125"
"1128","3857.79931640625","3857.79931640625","3857.79931640625"
"1130","2279.3583984375","2279.3583984375","2279.3583984375"
"1136","4854.98193359375","4854.98193359375","4854.98193359375"
"1163","2603.65673828125","2603.65673828125","2603.65673828125"
"1164","1537.834716796875","1537.834716796875","1537.834716796875"
"1167","1866.5716552734375","1866.5716552734375","1866.5716552734375"
"1182","2927.95751953125","2927.95751953125","2927.95751953125"
"1211","3363.714599609375","3363.714599609375","3363.714599609375"
"1216","1895.5035400390625","1895.5035400390625","1895.5035400390625"
"1224","2616.9658203125","2616.9658203125","2616.9658203125"
"1232","4211.65625","4211.65625","4211.65625"
"1238","2169.31494140625","2169.31494140625","2169.31494140625"
"1252","2319.98681640625","2319.98681640625","2319.98681640625"
"1268","5228.48388671875","5228.48388671875","5228.48388671875"
"1271","2909.5732421875","2909.5732421875","2909.5732421875"
"1273","1100.7099609375","1100.7099609375","1100.7099609375"
"1301","4487.0146484375","4487.0146484375","4487.0146484375"
"1325","2280.366943359375","2280.366943359375","2280.366943359375"
"1326","4210.15234375","4210.15234375","4210.15234375"
"1350","2601.9873046875","2601.9873046875","2601.9873046875"
"1351","3521.797119140625","3521.797119140625","3521.797119140625"
"1362","3359.991943359375","3359.991943359375","3359.991943359375"
"1364","4396.560546875","4396.560546875","4396.560546875"
"1366","2765.370361328125","2765.370361328125","2765.370361328125"
"1373","4366.3466796875","4366.3466796875","4366.3466796875"
"1403","5034.20703125","5034.20703125","5034.20703125"
"1408","3368.6357421875","3368.6357421875","3368.6357421875"
"1424","4050.4052734375","4050.4052734375","4050.4052734375"
"1428","2955.39892578125","2955.39892578125","2955.39892578125"
"1446","3422.60595703125","3422.60595703125","3422.60595703125"
"1447","3081.976318359375","3081.976318359375","3081.976318359375"
"1448","2898.5888671875","2898.5888671875","2898.5888671875"
"1464","3041.08447265625","3041.08447265625","3041.08447265625"
"1465","2139.841064453125","2139.841064453125","2139.841064453125"
"1470","2718.217529296875","2718.217529296875","2718.217529296875"
"1472","4196.8466796875","4196.8466796875","4196.8466796875"
"1486","2682.83349609375","2682.83349609375","2682.83349609375"
"1487","2993.111572265625","2993.111572265625","2993.111572265625"
"1494","3351.85107421875","3351.85107421875","3351.85107421875"
"1501","3498.012451171875","3498.012451171875","3498.012451171875"
"1507","3517.92724609375","3517.92724609375","3517.92724609375"
"1511","4249.2529296875","4249.2529296875","4249.2529296875"
"1512","5083.5341796875","5083.5341796875","5083.5341796875"
"1531","2061.831787109375","2061.831787109375","2061.831787109375"
"1540","2759.4951171875","2759.4951171875","2759.4951171875"
"1541","2692.23291015625","2692.23291015625","2692.23291015625"
"1551","2567.8486328125","2567.8486328125","2567.8486328125"
"1574","3070.16064453125","3070.16064453125","3070.16064453125"
"1576","3177.75146484375","3177.75146484375","3177.75146484375"
"1589","2892.678466796875","2892.678466796875","2892.678466796875"
"1598","2721.769775390625","2721.769775390625","2721.769775390625"
"1600","3677.27685546875","3677.27685546875","3677.27685546875"
"1613","3294.4248046875","3294.4248046875","3294.4248046875"
"1650","4658.6669921875","4658.6669921875","4658.6669921875"
"1657","3230.080078125","3230.080078125","3230.080078125"
"1665","3644.572021484375","3644.572021484375","3644.572021484375"
"1686","4456.69482421875","4456.69482421875","4456.69482421875"
"1700","4194.4521484375","4194.4521484375","4194.4521484375"
"1702","3867.450927734375","3867.450927734375","3867.450927734375"
"1709","4212.724609375","4212.724609375","4212.724609375"
"1714","3203.02783203125","3203.02783203125","3203.02783203125"
"1716","3459.712890625","3459.712890625","3459.712890625"
"1718","3325.09912109375","3325.09912109375","3325.09912109375"
"1732","4229.10107421875","4229.10107421875","4229.10107421875"
"1741","4092.402099609375","4092.402099609375","4092.402099609375"
"1752","3148.880859375","3148.880859375","3148.880859375"
"1760","3490.06298828125","3490.06298828125","3490.06298828125"
"1773","2386.314208984375","2386.314208984375","2386.314208984375"
"1782","2067.157470703125","2067.157470703125","2067.157470703125"
"1792","3413.06591796875","3413.06591796875","3413.06591796875"
"1796","4994.62646484375","4994.62646484375","4994.62646484375"
"1800","3987.84326171875","3987.84326171875","3987.84326171875"
"1803","2622.968994140625","2622.968994140625","2622.968994140625"
"1810","4227.4052734375","4227.4052734375","4227.4052734375"
"1814","3967.826171875","3967.826171875","3967.826171875"
"1821","4091.03955078125","4091.03955078125","4091.03955078125"
"1822","4246.70849609375","4246.70849609375","4246.70849609375"
"1828","4169.9560546875","4169.9560546875","4169.9560546875"
"1830","3172.838134765625","3172.838134765625","3172.838134765625"
"1832","4425.9248046875","4425.9248046875","4425.9248046875"
"1833","3576.453369140625","3576.453369140625","3576.453369140625"
"1836","2729.185546875","2729.185546875","2729.185546875"
"1843","5418.1162109375","5418.1162109375","5418.1162109375"
"1846","4081.878173828125","4081.878173828125","4081.878173828125"
"1859","3799.99462890625","3799.99462890625","3799.99462890625"
"1861","3651.94384765625","3651.94384765625","3651.94384765625"
"1878","2632.36279296875","2632.36279296875","2632.36279296875"
"1893","4628.9970703125","4628.9970703125","4628.9970703125"
"1897","4535.8837890625","4535.8837890625","4535.8837890625"
"1933","3368.041259765625","3368.041259765625","3368.041259765625"
"1944","3097.84765625","3097.84765625","3097.84765625"
"1951","3328.79248046875","3328.79248046875","3328.79248046875"
"1956","4780.2138671875","4780.2138671875","4780.2138671875"
"1959","3571.60107421875","3571.60107421875","3571.60107421875"
"1985","4218.8095703125","4218.8095703125","4218.8095703125"
"1991","5154.421875","5154.421875","5154.421875"
"2006","4432.80517578125","4432.80517578125","4432.80517578125"
"2014","3648.050048828125","3648.050048828125","3648.050048828125"
"2016","5054.1796875","5054.1796875","5054.1796875"
"2028","2897.39208984375","2897.39208984375","2897.39208984375"
"2034","3502.93212890625","3502.93212890625","3502.93212890625"
"2039","2745.9638671875","2745.9638671875","2745.9638671875"
"2049","4951.6337890625","4951.6337890625","4951.6337890625"
"2067","4995.888671875","4995.888671875","4995.888671875"
"2068","4007.665771484375","4007.665771484375","4007.665771484375"
"2090","4071.6572265625","4071.6572265625","4071.6572265625"
"2098","3528.9130859375","3528.9130859375","3528.9130859375"
"2105","2268.52978515625","2268.52978515625","2268.52978515625"
"2110","3325.891357421875","3325.891357421875","3325.891357421875"
"2131","3855.0234375","3855.0234375","3855.0234375"
"2135","4325.650390625","4325.650390625","4325.650390625"
"2141","3637.47265625","3637.47265625","3637.47265625"
"2143","3960.79833984375","3960.79833984375","3960.79833984375"
"2152","4390.21875","4390.21875","4390.21875"
"2164","3494.728515625","3494.728515625","3494.728515625"
"2171","4062.900390625","4062.900390625","4062.900390625"
"2184","3941.62451171875","3941.62451171875","3941.62451171875"
"2187","3147.92138671875","3147.92138671875","3147.92138671875"
"2189","3727.11279296875","3727.11279296875","3727.11279296875"
"2192","4576.03857421875","4576.03857421875","4576.03857421875"
"2201","2569.988037109375","2569.988037109375","2569.988037109375"
"2203","3357.06591796875","3357.06591796875","3357.06591796875"
"2209","4703.46435546875","4703.46435546875","4703.46435546875"
"2213","4915.53173828125","4915.53173828125","4915.53173828125"
"2247","4144.3994140625","4144.3994140625","4144.3994140625"
"2263","3646.92822265625","3646.92822265625","3646.92822265625"
"2271","3138.56689453125","3138.56689453125","3138.56689453125"
"2272","5746.66064453125","5746.66064453125","5746.66064453125"
"2283","4446.30859375","4446.30859375","4446.30859375"
"2295","3700.088134765625","3700.088134765625","3700.088134765625"
"2302","4932.255859375","4932.255859375","4932.255859375"
"2321","4089.887939453125","4089.887939453125","4089.887939453125"
"2328","4494.6083984375","4494.6083984375","4494.6083984375"
"2334","5028.15869140625","5028.15869140625","5028.15869140625"
"2343","3546.606201171875","3546.606201171875","3546.606201171875"
"2352","3732.34033203125","3732.34033203125","3732.34033203125"
"2356","2576.535400390625","2576.535400390625","2576.535400390625"
"2378","3453.9658203125","3453.9658203125","3453.9658203125"
"2382","4618.1513671875","4618.1513671875","4618.1513671875"
"2400","4330.462890625","4330.462890625","4330.462890625"
"2406","4823.75537109375","4823.75537109375","4823.75537109375"
"2410","5929.859375","5929.859375","5929.859375"
"2419","3153.15087890625","3153.15087890625","3153.15087890625"
"2422","2504.6748046875","2504.6748046875","2504.6748046875"
"2428","2493.716796875","2493.716796875","2493.716796875"
"2429","4085.66015625","4085.66015625","4085.66015625"
"2454","4390.98046875","4390.98046875","4390.98046875"
"2459","3113.78369140625","3113.78369140625","3113.78369140625"
"2533","4665.16015625","4665.16015625","4665.16015625"
"2537","5738.78515625","5738.78515625","5738.78515625"
"2542","4561.337890625","4561.337890625","4561.337890625"
"2549","4273.69921875","4273.69921875","4273.69921875"
"2551","4602.90869140625","4602.90869140625","4602.90869140625"
"2563","5497.759765625","5497.759765625","5497.759765625"
"2573","4125.67236328125","4125.67236328125","4125.67236328125"
"2578","3195.53564453125","3195.53564453125","3195.53564453125"
"2590","4011.63232421875","4011.63232421875","4011.63232421875"
"2599","3113.717041015625","3113.717041015625","3113.717041015625"
"2612","4374.228515625","4374.228515625","4374.228515625"
"2624","5365.189453125","5365.189453125","5365.189453125"
"2662","4863.3017578125","4863.3017578125","4863.3017578125"
"2663","3684.2578125","3684.2578125","3684.2578125"
"2672","4545.1591796875","4545.1591796875","4545.1591796875"
"2700","3580.09033203125","3580.09033203125","3580.09033203125"
"2707","4381.30078125","4381.30078125","4381.30078125"
"2732","4507.322265625","4507.322265625","4507.322265625"
"2738","3815.11376953125","3815.11376953125","3815.11376953125"
"2752","5142.0205078125","5142.0205078125","5142.0205078125"
"2773","5197.7236328125","5197.7236328125","5197.7236328125"
"2798","5132.2841796875","5132.2841796875","5132.2841796875"
"2815","4026.2001953125","4026.2001953125","4026.2001953125"
"2821","5128.771484375","5128.771484375","5128.771484375"
"2833","5572.5615234375","5572.5615234375","5572.5615234375"
"2836","5045.548828125","5045.548828125","5045.548828125"
"2839","5050.6884765625","5050.6884765625","5050.6884765625"
"2860","4093.17626953125","4093.17626953125","4093.17626953125"
"2863","5573.6630859375","5573.6630859375","5573.6630859375"
"2865","5267.23583984375","5267.23583984375","5267.23583984375"
"2871","5318.5517578125","5318.5517578125","5318.5517578125"
"2874","4226.3447265625","4226.3447265625","4226.3447265625"
"2884","4004.927001953125","4004.927001953125","4004.927001953125"
"2902","5890.85693359375","5890.85693359375","5890.85693359375"
"2909","5474.94921875","5474.94921875","5474.94921875"
"2911","5305.8193359375","5305.8193359375","5305.8193359375"
"2938","5290.4453125","5290.4453125","5290.4453125"
"2941","5726.6484375","5726.6484375","5726.6484375"
"2946","5273.224609375","5273.224609375","5273.224609375"
"2958","4666.4287109375","4666.4287109375","4666.4287109375"
"2975","5013.1123046875","5013.1123046875","5013.1123046875"
"2977","6513.609375","6513.609375","6513.609375"
"2992","6195.41796875","6195.41796875","6195.41796875"
"3003","4361.8017578125","4361.8017578125","4361.8017578125"
"3029","4899.251953125","4899.251953125","4899.251953125"
"3030","5498.234375","5498.234375","5498.234375"
"3052","5509.078125","5509.078125","5509.078125"
"3066","4831.0341796875","4831.0341796875","4831.0341796875"
"3068","6652.9033203125","6652.9033203125","6652.9033203125"
"3069","4392.11328125","4392.11328125","4392.11328125"
"3070","5474.36767578125","5474.36767578125","5474.36767578125"
"3073","6372.7412109375","6372.7412109375","6372.7412109375"
"3091","5166.06494140625","5166.06494140625","5166.06494140625"
"3096","4252.75341796875","4252.75341796875","4252.75341796875"
"3111","5142.41162109375","5142.41162109375","5142.41162109375"
"3117","5336.59375","5336.59375","5336.59375"
"3121","5603.46484375","5603.46484375","5603.46484375"
"3124","5507.7490234375","5507.7490234375","5507.7490234375"
"3163","4397.7724609375","4397.7724609375","4397.7724609375"
"3167","6138.49462890625","6138.49462890625","6138.49462890625"
"3176","4375.09375","4375.09375","4375.09375"
"3214","5782.8671875","5782.8671875","5782.8671875"
"3215","5586.34375","5586.34375","5586.34375"
"3224","4703.88916015625","4703.88916015625","4703.88916015625"
"3238","5851.5361328125","5851.5361328125","5851.5361328125"
"3263","6140.12890625","6140.12890625","6140.12890625"
"3273","4141.56884765625","4141.56884765625","4141.56884765625"
"3274","5066.63916015625","5066.63916015625","5066.63916015625"
"3296","6082.3916015625","6082.3916015625","6082.3916015625"
"3304","5395.7333984375","5395.7333984375","5395.7333984375"
"3306","7365.45068359375","7365.45068359375","7365.45068359375"
"3316","5963.9794921875","5963.9794921875","5963.9794921875"
"3318","5597.75390625","5597.75390625","5597.75390625"
"3335","6403.69140625","6403.69140625","6403.69140625"
"3341","5547.71484375","5547.71484375","5547.71484375"
"3353","5500.9931640625","5500.9931640625","5500.9931640625"
"3356","7074.658203125","7074.658203125","7074.658203125"
"3365","5519.56005859375","5519.56005859375","5519.56005859375"
"3367","6455.623046875","6455.623046875","6455.623046875"
"3372","5206.80859375","5206.80859375","5206.80859375"
"3398","5982.7548828125","5982.7548828125","5982.7548828125"
"3417","5773.1640625","5773.1640625","5773.1640625"
"3419","4885.4609375","4885.4609375","4885.4609375"
"3444","6700.7568359375","6700.7568359375","6700.7568359375"
"3485","4574.9169921875","4574.9169921875","4574.9169921875"
"3494","7723.6796875","7723.6796875","7723.6796875"
"3506","5766.7802734375","5766.7802734375","5766.7802734375"
"3515","6878.80322265625","6878.80322265625","6878.80322265625"
"3528","7269.7578125","7269.7578125","7269.7578125"
"3536","5950.08203125","5950.08203125","5950.08203125"
"3543","5768.12109375","5768.12109375","5768.12109375"
"3557","5902.35400390625","5902.35400390625","5902.35400390625"
"3563","5447.13720703125","5447.13720703125","5447.13720703125"
"3566","5275.73046875","5275.73046875","5275.73046875"
"3571","5920.712890625","5920.712890625","5920.712890625"
"3577","7758.8369140625","7758.8369140625","7758.8369140625"
"3588","6906.7900390625","6906.7900390625","6906.7900390625"
"3595","5776.52490234375","5776.52490234375","5776.52490234375"
"3599","6081.5439453125","6081.5439453125","6081.5439453125"
"3601","6276.701171875","6276.701171875","6276.701171875"
"3602","6811.720703125","6811.720703125","6811.720703125"
"3608","5157.5849609375","5157.5849609375","5157.5849609375"
"3610","6542.9033203125","6542.9033203125","6542.9033203125"
"3629","6254.3466796875","6254.3466796875","6254.3466796875"
"3633","4607.6904296875","4607.6904296875","4607.6904296875"
"3648","6365.2275390625","6365.2275390625","6365.2275390625"
"3656","6502.369140625","6502.369140625","6502.369140625"
"3667","5163.55078125","5163.55078125","5163.55078125"
"3673","6603.59375","6603.59375","6603.59375"
"3678","6354.8203125","6354.8203125","6354.8203125"
"3679","5318.453125","5318.453125","5318.453125"
"3740","6179.244140625","6179.244140625","6179.244140625"
"3749","6349.1123046875","6349.1123046875","6349.1123046875"
"3750","6517.494140625","6517.494140625","6517.494140625"
"3758","6705.5263671875","6705.5263671875","6705.5263671875"
"3765","5891.0703125","5891.0703125","5891.0703125"
"3767","4773.51220703125","4773.51220703125","4773.51220703125"
"3789","6759.70703125","6759.70703125","6759.70703125"
"3794","7181.94482421875","7181.94482421875","7181.94482421875"
"3803","5685.001953125","5685.001953125","5685.001953125"
"3815","5817.8359375","5817.8359375","5817.8359375"
"3818","5939.9541015625","5939.9541015625","5939.9541015625"
"3836","5131.21875","5131.21875","5131.21875"
"3838","5705.37890625","5705.37890625","5705.37890625"
"3849","5949.4716796875","5949.4716796875","5949.4716796875"
"3857","5715.0849609375","5715.0849609375","5715.0849609375"
"3871","4666.01953125","4666.01953125","4666.01953125"
"3878","6657.7099609375","6657.7099609375","6657.7099609375"
"3883","7428.84375","7428.84375","7428.84375"
"3887","4930.82080078125","4930.82080078125","4930.82080078125"
"3889","6560.39990234375","6560.39990234375","6560.39990234375"
"3892","6918.10009765625","6918.10009765625","6918.10009765625"
"3910","5460.8681640625","5460.8681640625","5460.8681640625"
"3921","6086.900390625","6086.900390625","6086.900390625"
"3923","6561.86767578125","6561.86767578125","6561.86767578125"
"3931","5228.1845703125","5228.1845703125","5228.1845703125"
"3951","5776.3759765625","5776.3759765625","5776.3759765625"
"3958","6122.5302734375","6122.5302734375","6122.5302734375"
"3961","6084.125","6084.125","6084.125"
"3974","6254.220703125","6254.220703125","6254.220703125"
"3993","6749.83935546875","6749.83935546875","6749.83935546875"
"4009","6853.46484375","6853.46484375","6853.46484375"
"4012","7121.97998046875","7121.97998046875","7121.97998046875"
"4016","5210.111328125","5210.111328125","5210.111328125"
"4021","6160.23681640625","6160.23681640625","6160.23681640625"
"4032","5601.48046875","5601.48046875","5601.48046875"
"4040","5953.732421875","5953.732421875","5953.732421875"
"4054","5217.80078125","5217.80078125","5217.80078125"
"4066","5754.580078125","5754.580078125","5754.580078125"
"4074","6071.39013671875","6071.39013671875","6071.39013671875"
"4091","5531.59765625","5531.59765625","5531.59765625"
"4101","5571.85205078125","5571.85205078125","5571.85205078125"
"4104","5308.4931640625","5308.4931640625","5308.4931640625"
"4114","5145.09130859375","5145.09130859375","5145.09130859375"
"4131","4911.9404296875","4911.9404296875","4911.9404296875"
"4140","5267.28857421875","5267.28857421875","5267.28857421875"
"4148","5967.82861328125","5967.82861328125","5967.82861328125"
"4162","4697.119140625","4697.119140625","4697.119140625"
"4163","5429.5927734375","5429.5927734375","5429.5927734375"
"4175","6540.5625","6540.5625","6540.5625"
"4181","6817.5595703125","6817.5595703125","6817.5595703125"
"4184","6466.5751953125","6466.5751953125","6466.5751953125"
"4212","5107.314453125","5107.314453125","5107.314453125"
"4213","5716.2666015625","5716.2666015625","5716.2666015625"
"4229","6276.548828125","6276.548828125","6276.548828125"
"4247","6146.93115234375","6146.93115234375","6146.93115234375"
"4281","6926.06640625","6926.06640625","6926.06640625"
"4295","5108.0966796875","5108.0966796875","5108.0966796875"
"4318","4668.40673828125","4668.40673828125","4668.40673828125"
"4321","6260.517578125","6260.517578125","6260.517578125"
"4337","6883.4208984375","6883.4208984375","6883.4208984375"
"4341","6034.55029296875","6034.55029296875","6034.55029296875"
"4349","4161.025390625","4161.025390625","4161.025390625"
"4358","6401.1826171875","6401.1826171875","6401.1826171875"
"4359","5981.642578125","5981.642578125","5981.642578125"
"4369","6679.470703125","6679.470703125","6679.470703125"
"4377","6092.64453125","6092.64453125","6092.64453125"
