"Step","dual_agent_nyc_man_south_mode1 - combined/total_reward","dual_agent_nyc_man_south_mode1 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode1 - combined/total_reward__MAX"
"0","7143.84521484375","7143.84521484375","7143.84521484375"
"16","6990.560546875","6990.560546875","6990.560546875"
"21","6957.31005859375","6957.31005859375","6957.31005859375"
"25","6660.654296875","6660.654296875","6660.654296875"
"48","7386.3583984375","7386.3583984375","7386.3583984375"
"58","5985.94775390625","5985.94775390625","5985.94775390625"
"59","5349.3818359375","5349.3818359375","5349.3818359375"
"63","4727.6142578125","4727.6142578125","4727.6142578125"
"72","6524.91845703125","6524.91845703125","6524.91845703125"
"77","7760.0302734375","7760.0302734375","7760.0302734375"
"102","6318.513671875","6318.513671875","6318.513671875"
"118","7358.73095703125","7358.73095703125","7358.73095703125"
"148","6919.5068359375","6919.5068359375","6919.5068359375"
"150","6560.5732421875","6560.5732421875","6560.5732421875"
"153","7645.3828125","7645.3828125","7645.3828125"
"154","6509.1513671875","6509.1513671875","6509.1513671875"
"162","5033.6650390625","5033.6650390625","5033.6650390625"
"163","5959.31494140625","5959.31494140625","5959.31494140625"
"166","6744.67578125","6744.67578125","6744.67578125"
"175","7122.9990234375","7122.9990234375","7122.9990234375"
"184","7377.7998046875","7377.7998046875","7377.7998046875"
"192","5971.029296875","5971.029296875","5971.029296875"
"224","7616.5224609375","7616.5224609375","7616.5224609375"
"249","6795.49609375","6795.49609375","6795.49609375"
"258","6382.7060546875","6382.7060546875","6382.7060546875"
"265","6547.9443359375","6547.9443359375","6547.9443359375"
"277","6137.8828125","6137.8828125","6137.8828125"
"280","7820.732421875","7820.732421875","7820.732421875"
"291","7021.1220703125","7021.1220703125","7021.1220703125"
"294","6639.8515625","6639.8515625","6639.8515625"
"300","7174.474609375","7174.474609375","7174.474609375"
"304","7627.6591796875","7627.6591796875","7627.6591796875"
"308","6999.8818359375","6999.8818359375","6999.8818359375"
"317","6649.357421875","6649.357421875","6649.357421875"
"336","7129.12841796875","7129.12841796875","7129.12841796875"
"352","5531.76123046875","5531.76123046875","5531.76123046875"
"367","6524.568359375","6524.568359375","6524.568359375"
"371","6465.67724609375","6465.67724609375","6465.67724609375"
"381","7676.6435546875","7676.6435546875","7676.6435546875"
"388","6407.60791015625","6407.60791015625","6407.60791015625"
"396","6698.25","6698.25","6698.25"
"404","8227.90625","8227.90625","8227.90625"
"413","6663.76513671875","6663.76513671875","6663.76513671875"
"424","6765.1875","6765.1875","6765.1875"
"429","5652.40234375","5652.40234375","5652.40234375"
"434","7434.76513671875","7434.76513671875","7434.76513671875"
"454","7272.0458984375","7272.0458984375","7272.0458984375"
"464","6734.0009765625","6734.0009765625","6734.0009765625"
"471","6944.2099609375","6944.2099609375","6944.2099609375"
"476","6357.216796875","6357.216796875","6357.216796875"
"489","7941.26123046875","7941.26123046875","7941.26123046875"
"514","6474.20703125","6474.20703125","6474.20703125"
"518","6273.08984375","6273.08984375","6273.08984375"
"533","7338.3212890625","7338.3212890625","7338.3212890625"
"548","7330.201171875","7330.201171875","7330.201171875"
"549","6543.5791015625","6543.5791015625","6543.5791015625"
"567","6756.75146484375","6756.75146484375","6756.75146484375"
"574","6295.755859375","6295.755859375","6295.755859375"
"577","6032.08349609375","6032.08349609375","6032.08349609375"
"584","7478.33447265625","7478.33447265625","7478.33447265625"
"585","7049.82666015625","7049.82666015625","7049.82666015625"
"588","7794.9970703125","7794.9970703125","7794.9970703125"
"594","5933.25390625","5933.25390625","5933.25390625"
"612","7039.0771484375","7039.0771484375","7039.0771484375"
"645","8105.029296875","8105.029296875","8105.029296875"
"651","6569.8828125","6569.8828125","6569.8828125"
"662","6940.33544921875","6940.33544921875","6940.33544921875"
"675","8108.3974609375","8108.3974609375","8108.3974609375"
"685","7541.904296875","7541.904296875","7541.904296875"
"702","7688.65673828125","7688.65673828125","7688.65673828125"
"751","7535.27880859375","7535.27880859375","7535.27880859375"
"754","7926.74951171875","7926.74951171875","7926.74951171875"
"762","6554.2763671875","6554.2763671875","6554.2763671875"
"788","7610.458984375","7610.458984375","7610.458984375"
"801","8131.24609375","8131.24609375","8131.24609375"
"806","7821.345703125","7821.345703125","7821.345703125"
"812","7515.880859375","7515.880859375","7515.880859375"
"839","7319.671875","7319.671875","7319.671875"
"881","8757.32421875","8757.32421875","8757.32421875"
"882","7763.3046875","7763.3046875","7763.3046875"
"884","6839.2587890625","6839.2587890625","6839.2587890625"
"885","8629.5048828125","8629.5048828125","8629.5048828125"
"913","7166.1572265625","7166.1572265625","7166.1572265625"
"921","8354.955078125","8354.955078125","8354.955078125"
"938","8148.79296875","8148.79296875","8148.79296875"
"947","8661.4755859375","8661.4755859375","8661.4755859375"
"961","8148.0732421875","8148.0732421875","8148.0732421875"
"962","8290.025390625","8290.025390625","8290.025390625"
"964","7795.54052734375","7795.54052734375","7795.54052734375"
"971","7961.89453125","7961.89453125","7961.89453125"
"975","8062.97314453125","8062.97314453125","8062.97314453125"
"990","7171.12158203125","7171.12158203125","7171.12158203125"
"996","7890.1171875","7890.1171875","7890.1171875"
"997","7522.708984375","7522.708984375","7522.708984375"
"1000","7778.29296875","7778.29296875","7778.29296875"
"1010","8057.14111328125","8057.14111328125","8057.14111328125"
"1020","7882.1875","7882.1875","7882.1875"
"1025","8649.4541015625","8649.4541015625","8649.4541015625"
"1049","8312.7001953125","8312.7001953125","8312.7001953125"
"1066","7785.525390625","7785.525390625","7785.525390625"
"1074","7992.7958984375","7992.7958984375","7992.7958984375"
"1084","8628.2265625","8628.2265625","8628.2265625"
"1103","8620.31640625","8620.31640625","8620.31640625"
"1112","7977.48828125","7977.48828125","7977.48828125"
"1128","8371.083984375","8371.083984375","8371.083984375"
"1130","7153.45654296875","7153.45654296875","7153.45654296875"
"1136","8308.7431640625","8308.7431640625","8308.7431640625"
"1163","8667.625","8667.625","8667.625"
"1164","8836.541015625","8836.541015625","8836.541015625"
"1167","7920.08935546875","7920.08935546875","7920.08935546875"
"1182","8134.375","8134.375","8134.375"
"1211","9076.2314453125","9076.2314453125","9076.2314453125"
"1216","7719.2890625","7719.2890625","7719.2890625"
"1224","7063.64990234375","7063.64990234375","7063.64990234375"
"1232","8206.1845703125","8206.1845703125","8206.1845703125"
"1238","9812.78125","9812.78125","9812.78125"
"1252","8397.515625","8397.515625","8397.515625"
"1268","9078.44140625","9078.44140625","9078.44140625"
"1271","8412.8505859375","8412.8505859375","8412.8505859375"
"1273","9040.015625","9040.015625","9040.015625"
"1301","8013.6298828125","8013.6298828125","8013.6298828125"
"1325","8195.416015625","8195.416015625","8195.416015625"
"1326","8462.3828125","8462.3828125","8462.3828125"
"1350","7974.9453125","7974.9453125","7974.9453125"
"1351","8570.3447265625","8570.3447265625","8570.3447265625"
"1362","8432.08203125","8432.08203125","8432.08203125"
"1364","8847.4111328125","8847.4111328125","8847.4111328125"
"1366","8437.2421875","8437.2421875","8437.2421875"
"1373","8869.4033203125","8869.4033203125","8869.4033203125"
"1403","9707.06640625","9707.06640625","9707.06640625"
"1408","7960.623046875","7960.623046875","7960.623046875"
"1424","8984.376953125","8984.376953125","8984.376953125"
"1428","9020.712890625","9020.712890625","9020.712890625"
"1446","10263.9228515625","10263.9228515625","10263.9228515625"
"1447","9564.779296875","9564.779296875","9564.779296875"
"1448","8681.2685546875","8681.2685546875","8681.2685546875"
"1464","7238.5126953125","7238.5126953125","7238.5126953125"
"1465","9240.646484375","9240.646484375","9240.646484375"
"1470","8415.9404296875","8415.9404296875","8415.9404296875"
"1472","8618.759765625","8618.759765625","8618.759765625"
"1486","8562.7890625","8562.7890625","8562.7890625"
"1487","8351.7177734375","8351.7177734375","8351.7177734375"
"1494","8298.296875","8298.296875","8298.296875"
"1501","7492.27880859375","7492.27880859375","7492.27880859375"
"1507","7946.6494140625","7946.6494140625","7946.6494140625"
"1511","8035.05859375","8035.05859375","8035.05859375"
"1512","8541.4150390625","8541.4150390625","8541.4150390625"
"1531","8865.162109375","8865.162109375","8865.162109375"
"1540","9214.240234375","9214.240234375","9214.240234375"
"1541","8020.9189453125","8020.9189453125","8020.9189453125"
"1551","8947.6982421875","8947.6982421875","8947.6982421875"
"1574","8516.41015625","8516.41015625","8516.41015625"
"1576","7230.68603515625","7230.68603515625","7230.68603515625"
"1589","8430.3984375","8430.3984375","8430.3984375"
"1598","9131.662109375","9131.662109375","9131.662109375"
"1600","8687.427734375","8687.427734375","8687.427734375"
"1613","8236.951171875","8236.951171875","8236.951171875"
"1650","9069.927734375","9069.927734375","9069.927734375"
"1657","8272.470703125","8272.470703125","8272.470703125"
"1665","8915.5986328125","8915.5986328125","8915.5986328125"
"1686","8544.81640625","8544.81640625","8544.81640625"
"1700","8747.427734375","8747.427734375","8747.427734375"
"1702","9332.3701171875","9332.3701171875","9332.3701171875"
"1709","9090.400390625","9090.400390625","9090.400390625"
"1714","9058.7587890625","9058.7587890625","9058.7587890625"
"1716","8156.654296875","8156.654296875","8156.654296875"
"1718","8398.85546875","8398.85546875","8398.85546875"
"1732","9013.61328125","9013.61328125","9013.61328125"
"1741","8260.6943359375","8260.6943359375","8260.6943359375"
"1752","8833.5947265625","8833.5947265625","8833.5947265625"
"1760","7956.5341796875","7956.5341796875","7956.5341796875"
"1773","8890.3359375","8890.3359375","8890.3359375"
"1782","8553.0712890625","8553.0712890625","8553.0712890625"
"1792","8931.765625","8931.765625","8931.765625"
"1796","8117.3828125","8117.3828125","8117.3828125"
"1800","8318.060546875","8318.060546875","8318.060546875"
"1803","8556.037109375","8556.037109375","8556.037109375"
"1810","9614.35546875","9614.35546875","9614.35546875"
"1814","9631.748046875","9631.748046875","9631.748046875"
"1821","9020.8203125","9020.8203125","9020.8203125"
"1822","8283.728515625","8283.728515625","8283.728515625"
"1828","9318.93359375","9318.93359375","9318.93359375"
"1830","9083.44921875","9083.44921875","9083.44921875"
"1832","7765.52587890625","7765.52587890625","7765.52587890625"
"1833","8792.654296875","8792.654296875","8792.654296875"
"1836","8512.72265625","8512.72265625","8512.72265625"
"1843","7754.091796875","7754.091796875","7754.091796875"
"1846","9112.7744140625","9112.7744140625","9112.7744140625"
"1859","7888.8935546875","7888.8935546875","7888.8935546875"
"1861","8047.60107421875","8047.60107421875","8047.60107421875"
"1878","8120.0908203125","8120.0908203125","8120.0908203125"
"1893","8301.6904296875","8301.6904296875","8301.6904296875"
"1897","9037.369140625","9037.369140625","9037.369140625"
"1933","8969.515625","8969.515625","8969.515625"
"1944","9209.611328125","9209.611328125","9209.611328125"
"1951","8746.560546875","8746.560546875","8746.560546875"
"1956","8261.0625","8261.0625","8261.0625"
"1959","9426.2216796875","9426.2216796875","9426.2216796875"
"1985","8747.0078125","8747.0078125","8747.0078125"
"1991","8833.52734375","8833.52734375","8833.52734375"
"2006","8808.048828125","8808.048828125","8808.048828125"
"2014","9726.654296875","9726.654296875","9726.654296875"
"2016","9173.919921875","9173.919921875","9173.919921875"
"2028","8156.1142578125","8156.1142578125","8156.1142578125"
"2034","7857.1884765625","7857.1884765625","7857.1884765625"
"2039","9531.6279296875","9531.6279296875","9531.6279296875"
"2049","9877.865234375","9877.865234375","9877.865234375"
"2067","8061.59619140625","8061.59619140625","8061.59619140625"
"2068","8274.357421875","8274.357421875","8274.357421875"
"2090","9071.703125","9071.703125","9071.703125"
"2098","9504.5009765625","9504.5009765625","9504.5009765625"
"2105","8137.1357421875","8137.1357421875","8137.1357421875"
"2110","9350.65625","9350.65625","9350.65625"
"2131","10044.509765625","10044.509765625","10044.509765625"
"2135","8589.37109375","8589.37109375","8589.37109375"
"2141","8855.232421875","8855.232421875","8855.232421875"
"2143","8100.0732421875","8100.0732421875","8100.0732421875"
"2152","9390.232421875","9390.232421875","9390.232421875"
"2164","9226.646484375","9226.646484375","9226.646484375"
"2171","9666.671875","9666.671875","9666.671875"
"2184","9097.9560546875","9097.9560546875","9097.9560546875"
"2187","9972.123046875","9972.123046875","9972.123046875"
"2189","9475.814453125","9475.814453125","9475.814453125"
"2192","8378.7392578125","8378.7392578125","8378.7392578125"
"2201","10143.6123046875","10143.6123046875","10143.6123046875"
"2203","9260.55859375","9260.55859375","9260.55859375"
"2209","9180.7890625","9180.7890625","9180.7890625"
"2213","9900.869140625","9900.869140625","9900.869140625"
"2247","9143.390625","9143.390625","9143.390625"
"2263","10126.77734375","10126.77734375","10126.77734375"
"2271","10071.849609375","10071.849609375","10071.849609375"
"2272","9116.4189453125","9116.4189453125","9116.4189453125"
"2283","8852.484375","8852.484375","8852.484375"
"2295","8725.8046875","8725.8046875","8725.8046875"
"2302","9771.009765625","9771.009765625","9771.009765625"
"2321","8884.24609375","8884.24609375","8884.24609375"
"2328","10064.955078125","10064.955078125","10064.955078125"
"2334","9318.00390625","9318.00390625","9318.00390625"
"2343","8933.390625","8933.390625","8933.390625"
"2352","8999.7119140625","8999.7119140625","8999.7119140625"
"2356","9581.12109375","9581.12109375","9581.12109375"
"2378","9035.69140625","9035.69140625","9035.69140625"
"2382","9990.169921875","9990.169921875","9990.169921875"
"2400","9966.48046875","9966.48046875","9966.48046875"
"2406","9081.658203125","9081.658203125","9081.658203125"
"2410","9630.16796875","9630.16796875","9630.16796875"
"2419","8965.43359375","8965.43359375","8965.43359375"
"2422","10024.345703125","10024.345703125","10024.345703125"
"2428","8350.0927734375","8350.0927734375","8350.0927734375"
"2429","9539.12890625","9539.12890625","9539.12890625"
"2454","8893.51171875","8893.51171875","8893.51171875"
"2459","10014.74609375","10014.74609375","10014.74609375"
"2533","9756.27734375","9756.27734375","9756.27734375"
"2537","8595.931640625","8595.931640625","8595.931640625"
"2542","9641.857421875","9641.857421875","9641.857421875"
"2549","10345.517578125","10345.517578125","10345.517578125"
"2551","9945.38671875","9945.38671875","9945.38671875"
"2563","9751.5185546875","9751.5185546875","9751.5185546875"
"2573","8950.1083984375","8950.1083984375","8950.1083984375"
"2578","10132.0478515625","10132.0478515625","10132.0478515625"
"2590","9814.501953125","9814.501953125","9814.501953125"
"2599","9541.642578125","9541.642578125","9541.642578125"
"2612","8735.19140625","8735.19140625","8735.19140625"
"2624","9076.083984375","9076.083984375","9076.083984375"
"2662","8967.0703125","8967.0703125","8967.0703125"
"2663","8877.0390625","8877.0390625","8877.0390625"
"2672","9562.7587890625","9562.7587890625","9562.7587890625"
"2700","9941.30859375","9941.30859375","9941.30859375"
"2707","9564.1865234375","9564.1865234375","9564.1865234375"
"2732","9695.8798828125","9695.8798828125","9695.8798828125"
"2738","10314.529296875","10314.529296875","10314.529296875"
"2752","9605.0302734375","9605.0302734375","9605.0302734375"
"2773","9545.125","9545.125","9545.125"
"2798","9527.533203125","9527.533203125","9527.533203125"
"2815","8121.6259765625","8121.6259765625","8121.6259765625"
"2821","9176.568359375","9176.568359375","9176.568359375"
"2833","9300.4052734375","9300.4052734375","9300.4052734375"
"2836","9845.7763671875","9845.7763671875","9845.7763671875"
"2839","9885.0859375","9885.0859375","9885.0859375"
"2860","9611.701171875","9611.701171875","9611.701171875"
"2863","10211.34765625","10211.34765625","10211.34765625"
"2865","9523.013671875","9523.013671875","9523.013671875"
"2871","9578.095703125","9578.095703125","9578.095703125"
"2874","9869.853515625","9869.853515625","9869.853515625"
"2884","9508.701171875","9508.701171875","9508.701171875"
"2902","8291.7099609375","8291.7099609375","8291.7099609375"
"2909","9337.2177734375","9337.2177734375","9337.2177734375"
"2911","9274.0830078125","9274.0830078125","9274.0830078125"
"2938","10177.365234375","10177.365234375","10177.365234375"
"2941","10027.0244140625","10027.0244140625","10027.0244140625"
"2946","9680.20703125","9680.20703125","9680.20703125"
"2958","10069.716796875","10069.716796875","10069.716796875"
"2975","9999.46875","9999.46875","9999.46875"
"2977","9673.7822265625","9673.7822265625","9673.7822265625"
"2992","10038.689453125","10038.689453125","10038.689453125"
"3003","9864.220703125","9864.220703125","9864.220703125"
"3029","9848.388671875","9848.388671875","9848.388671875"
"3030","9522.08984375","9522.08984375","9522.08984375"
"3052","10302.53125","10302.53125","10302.53125"
"3066","9769.125","9769.125","9769.125"
"3068","9808.314453125","9808.314453125","9808.314453125"
"3069","9433.009765625","9433.009765625","9433.009765625"
"3070","9254.970703125","9254.970703125","9254.970703125"
"3073","10694.62109375","10694.62109375","10694.62109375"
"3091","10272.3408203125","10272.3408203125","10272.3408203125"
"3096","10232","10232","10232"
"3111","9660.5546875","9660.5546875","9660.5546875"
"3117","10090.728515625","10090.728515625","10090.728515625"
"3121","10326.0048828125","10326.0048828125","10326.0048828125"
"3124","9541.17578125","9541.17578125","9541.17578125"
"3163","10141.384765625","10141.384765625","10141.384765625"
"3167","9609.1884765625","9609.1884765625","9609.1884765625"
"3176","9349.521484375","9349.521484375","9349.521484375"
"3214","10965.1953125","10965.1953125","10965.1953125"
"3215","9112.001953125","9112.001953125","9112.001953125"
"3224","9990.9775390625","9990.9775390625","9990.9775390625"
"3238","9584.255859375","9584.255859375","9584.255859375"
"3263","9536.54296875","9536.54296875","9536.54296875"
"3273","9102.2021484375","9102.2021484375","9102.2021484375"
"3274","10690.892578125","10690.892578125","10690.892578125"
"3296","10736.8095703125","10736.8095703125","10736.8095703125"
"3304","9471.763671875","9471.763671875","9471.763671875"
"3306","10712.5859375","10712.5859375","10712.5859375"
"3316","9522.474609375","9522.474609375","9522.474609375"
"3318","10614.607421875","10614.607421875","10614.607421875"
"3335","9884.8212890625","9884.8212890625","9884.8212890625"
"3341","9644.35546875","9644.35546875","9644.35546875"
"3353","9738.171875","9738.171875","9738.171875"
"3356","10803.814453125","10803.814453125","10803.814453125"
"3365","10988.08203125","10988.08203125","10988.08203125"
"3367","9905.13671875","9905.13671875","9905.13671875"
"3372","10283.265625","10283.265625","10283.265625"
"3398","10723.7265625","10723.7265625","10723.7265625"
"3417","10651.1875","10651.1875","10651.1875"
"3419","10193.421875","10193.421875","10193.421875"
"3444","10683.962890625","10683.962890625","10683.962890625"
"3485","10040.775390625","10040.775390625","10040.775390625"
"3494","9929.91796875","9929.91796875","9929.91796875"
"3506","10175.3583984375","10175.3583984375","10175.3583984375"
"3515","10495.5986328125","10495.5986328125","10495.5986328125"
"3528","9755.697265625","9755.697265625","9755.697265625"
