"Step","dual_agent_nyc_man_south_no_info_mode1 - combined/total_reward","dual_agent_nyc_man_south_no_info_mode1 - combined/total_reward__MIN","dual_agent_nyc_man_south_no_info_mode1 - combined/total_reward__MAX"
"0","7462.5849609375","7462.5849609375","7462.5849609375"
"16","4735.5869140625","4735.5869140625","4735.5869140625"
"21","6286.9287109375","6286.9287109375","6286.9287109375"
"25","6447.234375","6447.234375","6447.234375"
"48","6089.1552734375","6089.1552734375","6089.1552734375"
"58","7251.27880859375","7251.27880859375","7251.27880859375"
"59","6660.927734375","6660.927734375","6660.927734375"
"63","6282.13671875","6282.13671875","6282.13671875"
"72","6091.84765625","6091.84765625","6091.84765625"
"77","5909.3369140625","5909.3369140625","5909.3369140625"
"102","6577.705078125","6577.705078125","6577.705078125"
"118","8027.3212890625","8027.3212890625","8027.3212890625"
"148","5671.10986328125","5671.10986328125","5671.10986328125"
"150","7477.740234375","7477.740234375","7477.740234375"
"153","7269.85205078125","7269.85205078125","7269.85205078125"
"154","6464.93896484375","6464.93896484375","6464.93896484375"
"162","5406.45703125","5406.45703125","5406.45703125"
"163","6565.74169921875","6565.74169921875","6565.74169921875"
"166","7118.904296875","7118.904296875","7118.904296875"
"175","7486.162109375","7486.162109375","7486.162109375"
"184","5910.2626953125","5910.2626953125","5910.2626953125"
"192","7640.056640625","7640.056640625","7640.056640625"
"224","5989.4375","5989.4375","5989.4375"
"249","6085.380859375","6085.380859375","6085.380859375"
"258","5959.1943359375","5959.1943359375","5959.1943359375"
"265","6323.3935546875","6323.3935546875","6323.3935546875"
"277","6641.927734375","6641.927734375","6641.927734375"
"280","7333.27734375","7333.27734375","7333.27734375"
"291","7172.59912109375","7172.59912109375","7172.59912109375"
"294","6167.5400390625","6167.5400390625","6167.5400390625"
"300","6314.7890625","6314.7890625","6314.7890625"
"304","7269.9833984375","7269.9833984375","7269.9833984375"
"308","7053.01513671875","7053.01513671875","7053.01513671875"
"317","7442.22119140625","7442.22119140625","7442.22119140625"
"336","7435.98193359375","7435.98193359375","7435.98193359375"
"352","6980.0615234375","6980.0615234375","6980.0615234375"
"367","6842.4873046875","6842.4873046875","6842.4873046875"
"371","6515.65771484375","6515.65771484375","6515.65771484375"
"381","6159.94921875","6159.94921875","6159.94921875"
"388","5980.67578125","5980.67578125","5980.67578125"
"396","6384.8916015625","6384.8916015625","6384.8916015625"
"404","7432.49609375","7432.49609375","7432.49609375"
"413","6160.81591796875","6160.81591796875","6160.81591796875"
"424","6942.2607421875","6942.2607421875","6942.2607421875"
"429","7450.43115234375","7450.43115234375","7450.43115234375"
"434","7559.533203125","7559.533203125","7559.533203125"
