zcta,income_bin,bin_lower_annual_usd,bin_upper_annual_usd,assumed_annual_income_usd,assumed_hourly_wage_usd,household_count,probability_mass
ZCTA5 10010,$15–24.9k,15000,25000.0,20000.0,9.62,4,0.04208416833667335
ZCTA5 10010,$25–34.9k,25000,35000.0,30000.0,14.42,4,0.04208416833667335
ZCTA5 10010,$35–49.9k,35000,50000.0,42500.0,20.43,2,0.02805611222444889
ZCTA5 10010,$50–74.9k,50000,75000.0,62500.0,30.05,6,0.06713426853707415
ZCTA5 10010,$75–99.9k,75000,100000.0,87500.0,42.07,6,0.06212424849699398
ZCTA5 10010,$100–149.9k,100000,150000.0,125000.0,60.1,14,0.14829659318637273
ZCTA5 10010,$150–199.9k,150000,200000.0,175000.0,84.13,11,0.11122244488977955
ZCTA5 10010,$200k+,200000,,250000.0,120.19,42,0.4218436873747495
ZCTA5 10011,<$10k,0,10000.0,5000.0,2.4,4,0.045
ZCTA5 10011,$10–14.9k,10000,15000.0,12500.0,6.01,2,0.027999999999999997
ZCTA5 10011,$15–24.9k,15000,25000.0,20000.0,9.62,3,0.039
ZCTA5 10011,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.024
ZCTA5 10011,$35–49.9k,35000,50000.0,42500.0,20.43,6,0.064
ZCTA5 10011,$50–74.9k,50000,75000.0,62500.0,30.05,8,0.08900000000000001
ZCTA5 10011,$75–99.9k,75000,100000.0,87500.0,42.07,6,0.065
ZCTA5 10011,$100–149.9k,100000,150000.0,125000.0,60.1,15,0.154
ZCTA5 10011,$150–199.9k,150000,200000.0,175000.0,84.13,11,0.11800000000000001
ZCTA5 10011,$200k+,200000,,250000.0,120.19,37,0.374
ZCTA5 10012,<$10k,0,10000.0,5000.0,2.4,7,0.074
ZCTA5 10012,$10–14.9k,10000,15000.0,12500.0,6.01,1,0.014999999999999998
ZCTA5 10012,$15–24.9k,15000,25000.0,20000.0,9.62,3,0.03899999999999999
ZCTA5 10012,$25–34.9k,25000,35000.0,30000.0,14.42,3,0.034999999999999996
ZCTA5 10012,$35–49.9k,35000,50000.0,42500.0,20.43,4,0.044
ZCTA5 10012,$50–74.9k,50000,75000.0,62500.0,30.05,9,0.09699999999999998
ZCTA5 10012,$75–99.9k,75000,100000.0,87500.0,42.07,7,0.07899999999999999
ZCTA5 10012,$100–149.9k,100000,150000.0,125000.0,60.1,18,0.18799999999999997
ZCTA5 10012,$150–199.9k,150000,200000.0,175000.0,84.13,9,0.09399999999999999
ZCTA5 10012,$200k+,200000,,250000.0,120.19,33,0.33499999999999996
ZCTA5 10013,<$10k,0,10000.0,5000.0,2.4,4,0.04091816367265469
ZCTA5 10013,$10–14.9k,10000,15000.0,12500.0,6.01,5,0.04990019960079841
ZCTA5 10013,$15–24.9k,15000,25000.0,20000.0,9.62,5,0.05489021956087825
ZCTA5 10013,$25–34.9k,25000,35000.0,30000.0,14.42,2,0.024950099800399205
ZCTA5 10013,$35–49.9k,35000,50000.0,42500.0,20.43,3,0.029940119760479045
ZCTA5 10013,$50–74.9k,50000,75000.0,62500.0,30.05,8,0.08383233532934133
