"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"961","16385.72846678322","16385.72846678322","16385.72846678322"
"962","16734.1578963814","16734.1578963814","16734.1578963814"
"964","16613.274523199027","16613.274523199027","16613.274523199027"
"971","16955.409398545904","16955.409398545904","16955.409398545904"
"975","17508.995533327783","17508.995533327783","17508.995533327783"
"990","17114.000952519702","17114.000952519702","17114.000952519702"
"996","16599.864907120656","16599.864907120656","16599.864907120656"
"997","16201.529932095684","16201.529932095684","16201.529932095684"
"1000","17458.33471459097","17458.33471459097","17458.33471459097"
"1010","16074.542566655571","16074.542566655571","16074.542566655571"
"1020","16935.733190309693","16935.733190309693","16935.733190309693"
"1025","16620.633742701742","16620.633742701742","16620.633742701742"
"1049","16897.04811555112","16897.04811555112","16897.04811555112"
"1066","16946.861214396715","16946.861214396715","16946.861214396715"
"1074","16999.114014735263","16999.114014735263","16999.114014735263"
"1084","17761.70168861694","17761.70168861694","17761.70168861694"
"1103","16886.819094211347","16886.819094211347","16886.819094211347"
"1112","16891.38696112221","16891.38696112221","16891.38696112221"
"1128","16347.540504606506","16347.540504606506","16347.540504606506"
"1130","17046.52971528472","17046.52971528472","17046.52971528472"
"1136","16465.870901404152","16465.870901404152","16465.870901404152"
"1163","17567.007839244092","17567.007839244092","17567.007839244092"
"1164","16897.19469092019","16897.19469092019","16897.19469092019"
"1167","17509.119660311913","17509.119660311913","17509.119660311913"
"1182","17126.88561655012","17126.88561655012","17126.88561655012"
"1211","16463.66918842269","16463.66918842269","16463.66918842269"
"1216","16539.055271145524","16539.055271145524","16539.055271145524"
"1224","16191.402161172166","16191.402161172166","16191.402161172166"
"1232","16555.643669996673","16555.643669996673","16555.643669996673"
"1238","17696.434013292266","17696.434013292266","17696.434013292266"
"1252","17551.25674764125","17551.25674764125","17551.25674764125"
"1268","17476.238089799088","17476.238089799088","17476.238089799088"
"1271","16761.53586002886","16761.53586002886","16761.53586002886"
"1273","16874.091003690755","16874.091003690755","16874.091003690755"
"1301","17829.646340215342","17829.646340215342","17829.646340215342"
"1325","16513.373928155183","16513.373928155183","16513.373928155183"
"1326","16022.105895243647","16022.105895243647","16022.105895243647"
"1350","16105.126550921304","16105.126550921304","16105.126550921304"
"1351","17613.005683843934","17613.005683843934","17613.005683843934"
"1362","16974.25030688756","16974.25030688756","16974.25030688756"
"1364","18019.86419649795","18019.86419649795","18019.86419649795"
"1366","17024.05246520147","17024.05246520147","17024.05246520147"
"1373","17126.547122738375","17126.547122738375","17126.547122738375"
"1403","17343.68028160728","17343.68028160728","17343.68028160728"
"1408","17334.24519782995","17334.24519782995","17334.24519782995"
"1424","17454.3277955378","17454.3277955378","17454.3277955378"
"1428","17281.468353424356","17281.468353424356","17281.468353424356"
"1446","17907.650160839163","17907.650160839163","17907.650160839163"
"1447","16938.29805294705","16938.29805294705","16938.29805294705"
"1448","16562.607379897883","16562.607379897883","16562.607379897883"
"1464","17133.076702103455","17133.076702103455","17133.076702103455"
"1465","17107.278572372074","17107.278572372074","17107.278572372074"
"1470","17231.94511149961","17231.94511149961","17231.94511149961"
"1472","17574.8231042291","17574.8231042291","17574.8231042291"
"1486","16443.529872322124","16443.529872322124","16443.529872322124"
"1487","18006.87020765346","18006.87020765346","18006.87020765346"
"1494","16759.186233266733","16759.186233266733","16759.186233266733"
