"Step","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_no_info_mode0 - combined/total_reward__MAX"
"2201","16696.28672133422","16696.28672133422","16696.28672133422"
"2203","16945.593030802534","16945.593030802534","16945.593030802534"
"2209","17222.29218734044","17222.29218734044","17222.29218734044"
"2213","17283.958902292154","17283.958902292154","17283.958902292154"
"2247","17050.622089771343","17050.622089771343","17050.622089771343"
"2263","16234.471936091686","16234.471936091686","16234.471936091686"
"2271","17362.366368131872","17362.366368131872","17362.366368131872"
"2272","18102.436840465096","18102.436840465096","18102.436840465096"
"2283","17158.666492535245","17158.666492535245","17158.666492535245"
"2295","16639.79849891775","16639.79849891775","16639.79849891775"
"2302","17668.1070992896","17668.1070992896","17668.1070992896"
"2321","17114.475973165725","17114.475973165725","17114.475973165725"
"2328","18058.760841075593","18058.760841075593","18058.760841075593"
"2334","16925.226662337664","16925.226662337664","16925.226662337664"
"2343","16997.906292374297","16997.906292374297","16997.906292374297"
"2352","16920.90437654013","16920.90437654013","16920.90437654013"
"2356","16756.82595940171","16756.82595940171","16756.82595940171"
"2378","16165.603749556005","16165.603749556005","16165.603749556005"
"2382","17474.405063658567","17474.405063658567","17474.405063658567"
"2400","16676.375657731158","16676.375657731158","16676.375657731158"
"2406","17087.30317629593","17087.30317629593","17087.30317629593"
"2410","17766.249315656565","17766.249315656565","17766.249315656565"
"2419","16862.32367943168","16862.32367943168","16862.32367943168"
"2422","16438.3325980131","16438.3325980131","16438.3325980131"
"2428","17301.981394494396","17301.981394494396","17301.981394494396"
"2429","17518.634244283498","17518.634244283498","17518.634244283498"
"2454","17092.974902375405","17092.974902375405","17092.974902375405"
"2459","17331.95658721834","17331.95658721834","17331.95658721834"
"2533","17410.95732905983","17410.95732905983","17410.95732905983"
"2537","16827.361029609285","16827.361029609285","16827.361029609285"
"2542","17036.975414862918","17036.975414862918","17036.975414862918"
"2549","17478.273140137644","17478.273140137644","17478.273140137644"
"2551","17773.056681790433","17773.056681790433","17773.056681790433"
