"Step","dual_agent_nyc_man_south_no_info_mode2 - combined/total_reward","dual_agent_nyc_man_south_no_info_mode2 - combined/total_reward__MIN","dual_agent_nyc_man_south_no_info_mode2 - combined/total_reward__MAX"
"0","2904.7197265625","2904.7197265625","2904.7197265625"
"16","3541.96435546875","3541.96435546875","3541.96435546875"
"21","2151.330322265625","2151.330322265625","2151.330322265625"
"25","559.7987670898438","559.7987670898438","559.7987670898438"
"48","3546.214111328125","3546.214111328125","3546.214111328125"
"58","4088.4013671875","4088.4013671875","4088.4013671875"
"59","2591.971435546875","2591.971435546875","2591.971435546875"
"63","3513.38134765625","3513.38134765625","3513.38134765625"
"72","2007.5341796875","2007.5341796875","2007.5341796875"
"77","826.3936767578125","826.3936767578125","826.3936767578125"
"102","1458.40087890625","1458.40087890625","1458.40087890625"
"118","1805.2281494140625","1805.2281494140625","1805.2281494140625"
"148","2067.660400390625","2067.660400390625","2067.660400390625"
"150","893.4505004882812","893.4505004882812","893.4505004882812"
"153","1613.6356201171875","1613.6356201171875","1613.6356201171875"
"154","2175.77197265625","2175.77197265625","2175.77197265625"
"162","16.1988525390625","16.1988525390625","16.1988525390625"
"163","3017.177978515625","3017.177978515625","3017.177978515625"
"166","2513.3310546875","2513.3310546875","2513.3310546875"
"175","4176.6572265625","4176.6572265625","4176.6572265625"
"184","1898.7138671875","1898.7138671875","1898.7138671875"
"192","319.01129150390625","319.01129150390625","319.01129150390625"
"224","2562.1005859375","2562.1005859375","2562.1005859375"
"249","1834.683349609375","1834.683349609375","1834.683349609375"
"258","1430.0025634765625","1430.0025634765625","1430.0025634765625"
"265","1470.81005859375","1470.81005859375","1470.81005859375"
"277","60.4737548828125","60.4737548828125","60.4737548828125"
"280","1311.8699951171875","1311.8699951171875","1311.8699951171875"
"291","1748.4091796875","1748.4091796875","1748.4091796875"
"294","3565.10791015625","3565.10791015625","3565.10791015625"
"300","3740.767822265625","3740.767822265625","3740.767822265625"
"304","2342.883056640625","2342.883056640625","2342.883056640625"
"308","2466.23388671875","2466.23388671875","2466.23388671875"
"317","2483.02001953125","2483.02001953125","2483.02001953125"
"336","2785.31689453125","2785.31689453125","2785.31689453125"
"352","1912.3712158203125","1912.3712158203125","1912.3712158203125"
"367","2643.99951171875","2643.99951171875","2643.99951171875"
"371","2959.79736328125","2959.79736328125","2959.79736328125"
"381","2257.11181640625","2257.11181640625","2257.11181640625"
"388","3130.494873046875","3130.494873046875","3130.494873046875"
"396","2644.077392578125","2644.077392578125","2644.077392578125"
"404","3081.838134765625","3081.838134765625","3081.838134765625"
"413","570.7116088867188","570.7116088867188","570.7116088867188"
"424","2411.79638671875","2411.79638671875","2411.79638671875"
"429","3026.841796875","3026.841796875","3026.841796875"
"434","2600.069580078125","2600.069580078125","2600.069580078125"
"454","2321.42822265625","2321.42822265625","2321.42822265625"
"464","2740.17529296875","2740.17529296875","2740.17529296875"
"471","2149.4921875","2149.4921875","2149.4921875"
"476","1495.3377685546875","1495.3377685546875","1495.3377685546875"
"489","3471.12451171875","3471.12451171875","3471.12451171875"
"514","1990.383056640625","1990.383056640625","1990.383056640625"
"518","3967.01806640625","3967.01806640625","3967.01806640625"
"533","2706.326904296875","2706.326904296875","2706.326904296875"
"548","3486.032958984375","3486.032958984375","3486.032958984375"
"549","3295.31396484375","3295.31396484375","3295.31396484375"
"567","3685.90966796875","3685.90966796875","3685.90966796875"
"574","2819.15625","2819.15625","2819.15625"
"577","4503.830078125","4503.830078125","4503.830078125"
"584","2922.91064453125","2922.91064453125","2922.91064453125"
"585","3307.59814453125","3307.59814453125","3307.59814453125"
"588","3823.560546875","3823.560546875","3823.560546875"
"594","1950.074462890625","1950.074462890625","1950.074462890625"
"612","3837.7333984375","3837.7333984375","3837.7333984375"
"645","3384.093017578125","3384.093017578125","3384.093017578125"
"651","2616.74072265625","2616.74072265625","2616.74072265625"
"662","2836.71826171875","2836.71826171875","2836.71826171875"
"675","1300.1556396484375","1300.1556396484375","1300.1556396484375"
"685","2928.41748046875","2928.41748046875","2928.41748046875"
"702","2554.74462890625","2554.74462890625","2554.74462890625"
"751","3380.5849609375","3380.5849609375","3380.5849609375"
"754","2357.96826171875","2357.96826171875","2357.96826171875"
"762","2794.406982421875","2794.406982421875","2794.406982421875"
"788","3770.814697265625","3770.814697265625","3770.814697265625"
"801","1494.02978515625","1494.02978515625","1494.02978515625"
"806","2013.14404296875","2013.14404296875","2013.14404296875"
"812","3599.0634765625","3599.0634765625","3599.0634765625"
"839","2716.16552734375","2716.16552734375","2716.16552734375"
"881","2220.068359375","2220.068359375","2220.068359375"
"882","3042.917724609375","3042.917724609375","3042.917724609375"
"884","2633.601318359375","2633.601318359375","2633.601318359375"
"885","534.7959594726562","534.7959594726562","534.7959594726562"
"913","2875.68115234375","2875.68115234375","2875.68115234375"
"921","2376.91796875","2376.91796875","2376.91796875"
"938","2252.29443359375","2252.29443359375","2252.29443359375"
"947","3646.215576171875","3646.215576171875","3646.215576171875"
"961","2536.18115234375","2536.18115234375","2536.18115234375"
"962","2870.45068359375","2870.45068359375","2870.45068359375"
"964","3225.029052734375","3225.029052734375","3225.029052734375"
"971","3352.8994140625","3352.8994140625","3352.8994140625"
"975","1807.5782470703125","1807.5782470703125","1807.5782470703125"
"990","3661.390625","3661.390625","3661.390625"
"996","3164.03857421875","3164.03857421875","3164.03857421875"
"997","3307.52587890625","3307.52587890625","3307.52587890625"
"1000","3476.718505859375","3476.718505859375","3476.718505859375"
"1010","3834.132568359375","3834.132568359375","3834.132568359375"
"1020","2211.75048828125","2211.75048828125","2211.75048828125"
"1025","3136.4892578125","3136.4892578125","3136.4892578125"
"1049","3426.5517578125","3426.5517578125","3426.5517578125"
"1066","2210.59619140625","2210.59619140625","2210.59619140625"
"1074","2967.060546875","2967.060546875","2967.060546875"
"1084","3080.2646484375","3080.2646484375","3080.2646484375"
"1103","3640.05224609375","3640.05224609375","3640.05224609375"
"1112","2643.939453125","2643.939453125","2643.939453125"
"1128","3908.2255859375","3908.2255859375","3908.2255859375"
"1130","3864.406982421875","3864.406982421875","3864.406982421875"
"1136","3669.541748046875","3669.541748046875","3669.541748046875"
"1163","2474.043212890625","2474.043212890625","2474.043212890625"
"1164","3276.73046875","3276.73046875","3276.73046875"
"1167","3076.6240234375","3076.6240234375","3076.6240234375"
"1182","3652.369873046875","3652.369873046875","3652.369873046875"
"1211","3221.89501953125","3221.89501953125","3221.89501953125"
"1216","3779.5","3779.5","3779.5"
"1224","2704.00927734375","2704.00927734375","2704.00927734375"
"1232","4383.8251953125","4383.8251953125","4383.8251953125"
"1238","2860.9521484375","2860.9521484375","2860.9521484375"
"1252","2871.61572265625","2871.61572265625","2871.61572265625"
"1268","1822.3839111328125","1822.3839111328125","1822.3839111328125"
"1271","3712.6591796875","3712.6591796875","3712.6591796875"
"1273","3828.14599609375","3828.14599609375","3828.14599609375"
"1301","3995.184326171875","3995.184326171875","3995.184326171875"
"1325","2993.842529296875","2993.842529296875","2993.842529296875"
"1326","3133.84814453125","3133.84814453125","3133.84814453125"
"1350","4035.38818359375","4035.38818359375","4035.38818359375"
"1351","2497.87158203125","2497.87158203125","2497.87158203125"
"1362","1643.129150390625","1643.129150390625","1643.129150390625"
"1364","3379.46630859375","3379.46630859375","3379.46630859375"
"1366","3626.6875","3626.6875","3626.6875"
"1373","3156.1279296875","3156.1279296875","3156.1279296875"
"1403","3645.54736328125","3645.54736328125","3645.54736328125"
"1408","3706.740234375","3706.740234375","3706.740234375"
"1424","5139.224609375","5139.224609375","5139.224609375"
"1428","3142.318115234375","3142.318115234375","3142.318115234375"
"1446","3621.58837890625","3621.58837890625","3621.58837890625"
"1447","3336.4814453125","3336.4814453125","3336.4814453125"
"1448","2552.65771484375","2552.65771484375","2552.65771484375"
"1464","4403.306640625","4403.306640625","4403.306640625"
"1465","2507.185546875","2507.185546875","2507.185546875"
"1470","3610.525146484375","3610.525146484375","3610.525146484375"
"1472","2971.699951171875","2971.699951171875","2971.699951171875"
"1486","3334.880126953125","3334.880126953125","3334.880126953125"
"1487","4644.29736328125","4644.29736328125","4644.29736328125"
"1494","4127.56982421875","4127.56982421875","4127.56982421875"
"1501","3366.542236328125","3366.542236328125","3366.542236328125"
"1507","3913.060791015625","3913.060791015625","3913.060791015625"
"1511","3216.52978515625","3216.52978515625","3216.52978515625"
"1512","3558.68505859375","3558.68505859375","3558.68505859375"
"1531","3199.62744140625","3199.62744140625","3199.62744140625"
"1540","4356.1630859375","4356.1630859375","4356.1630859375"
"1541","3099.860595703125","3099.860595703125","3099.860595703125"
"1551","2383.801025390625","2383.801025390625","2383.801025390625"
"1574","4796.45068359375","4796.45068359375","4796.45068359375"
"1576","3146.947509765625","3146.947509765625","3146.947509765625"
"1589","2265.15869140625","2265.15869140625","2265.15869140625"
"1598","2853.08984375","2853.08984375","2853.08984375"
"1600","3815.20654296875","3815.20654296875","3815.20654296875"
"1613","3851.828857421875","3851.828857421875","3851.828857421875"
"1650","3419.0712890625","3419.0712890625","3419.0712890625"
"1657","2809.37890625","2809.37890625","2809.37890625"
"1665","3398.31640625","3398.31640625","3398.31640625"
"1686","4341.2353515625","4341.2353515625","4341.2353515625"
"1700","3533.48876953125","3533.48876953125","3533.48876953125"
"1702","4539.0732421875","4539.0732421875","4539.0732421875"
"1709","5104.232421875","5104.232421875","5104.232421875"
"1714","2808.25244140625","2808.25244140625","2808.25244140625"
"1716","3269.6572265625","3269.6572265625","3269.6572265625"
"1718","3555.3623046875","3555.3623046875","3555.3623046875"
"1732","2717.4833984375","2717.4833984375","2717.4833984375"
"1741","3913.42626953125","3913.42626953125","3913.42626953125"
"1752","3764.232421875","3764.232421875","3764.232421875"
"1760","4002.83642578125","4002.83642578125","4002.83642578125"
"1773","2513.65771484375","2513.65771484375","2513.65771484375"
"1782","4434.908203125","4434.908203125","4434.908203125"
"1792","4660.13916015625","4660.13916015625","4660.13916015625"
"1796","3183.84765625","3183.84765625","3183.84765625"
