Metric	Mode 0	Mode 1	Mode 2	Mode 3	Mode 4
Reward	16099.46 (364.72)	14118.33 (313.26)	16574.46 (334.12)	13153.97 (324.58)	15612.59 (383.28)
Rebalancing Costs	3706.65 (150.48)	0.00 (0.00)	3520.65 (58.42)	0.00 (0.00)	4187.10 (157.37)
Rebalance Trips	1134.70 (34.26)	0.00 (0.00)	1177.80 (28.40)	0.00 (0.00)	1211.90 (47.67)
Price	-	1.17 (0.00)	1.08 (0.00)	1.00 (0.00)	1.00 (0.00)
Wait/mins	0.32 (0.03)	0.45 (0.03)	0.19 (0.02)	0.59 (0.02)	0.31 (0.02)
Queue	5.20 (0.49)	5.18 (0.32)	2.49 (0.27)	9.94 (0.31)	5.02 (0.36)
Served Demand	4254.20 (52.47)	2393.40 (51.26)	3748.70 (58.21)	2841.10 (62.50)	4249.50 (56.71)
Arrivals	4753.00 (76.79)	3174.00 (46.58)	3919.90 (71.49)	4753.00 (76.79)	4753.00 (76.79)
